cruise, day, pressure, theta, density, temp, salinity, oxygen, nitrate, 
280, 9965,  544.0,  6.4554,  26.795,  6.5048, 34.1154,    79.8,  35.753,
280, 9965,  546.0,  6.4308,  26.799,  6.4803, 34.1154,    79.5,  35.621,
280, 9965,  548.0,  6.4027,  26.802,  6.4523, 34.1158,    79.8,  35.762,
280, 9965,  550.0,  6.3667,  26.806,  6.4163, 34.1138,    79.6,  35.846,
280, 9965,  552.0,  6.3368,  26.810,  6.3865, 34.1147,    79.1,  36.302,
280, 9965,  554.0,  6.3101,  26.815,  6.3599, 34.1162,    79.2,  36.511,
280, 9965,  556.0,  6.2878,  26.820,  6.3376, 34.1190,    78.5,  36.755,
280, 9965,  558.0,  6.2613,  26.824,  6.3113, 34.1202,    77.2,  36.687,
280, 9965,  560.0,  6.2297,  26.828,  6.2797, 34.1199,    76.5,  36.290,
280, 9965,  562.0,  6.2081,  26.832,  6.2582, 34.1216,    75.9,  36.469,
280, 9965,  564.0,  6.1818,  26.836,  6.2319, 34.1218,    75.1,  36.250,
280, 9965,  566.0,  6.1594,  26.839,  6.2097, 34.1227,    74.4,  36.519,
280, 9965,  568.0,  6.1313,  26.843,  6.1817, 34.1234,    73.8,  36.986,
280, 9965,  570.0,  6.1038,  26.847,  6.1542, 34.1235,    73.5,  36.849,
280, 9965,  572.0,  6.0835,  26.850,  6.1340, 34.1245,    72.5,  36.970,
280, 9965,  574.0,  6.0542,  26.855,  6.1048, 34.1249,    71.2,  36.709,
280, 9965,  576.0,  6.0262,  26.859,  6.0769, 34.1260,    70.3,  36.879,
280, 9965,  578.0,  6.0063,  26.862,  6.0570, 34.1273,    69.5,  37.362,
280, 9965,  580.0,  5.9860,  26.866,  6.0368, 34.1286,    68.5,  37.272,
280, 9965,  582.0,  5.9614,  26.869,  6.0123, 34.1290,    68.0,  37.216,
280, 9965,  584.0,  5.9414,  26.873,  5.9924, 34.1305,    66.8,  38.085,
280, 9965,  586.0,  5.9256,  26.876,  5.9767, 34.1311,    65.9,  37.581,
280, 9965,  588.0,  5.8968,  26.880,  5.9479, 34.1319,    65.5,  37.509,
280, 9965,  590.0,  5.8694,  26.885,  5.9206, 34.1340,    64.8,  37.745,
280, 9965,  592.0,  5.8553,  26.889,  5.9066, 34.1365,    62.8,  38.247,
280, 9965,  594.0,  5.8274,  26.895,  5.8788, 34.1405,    61.8,  38.859,
280, 9965,  596.0,  5.8024,  26.900,  5.8539, 34.1431,    61.7,  38.217,
280, 9965,  598.0,  5.7876,  26.904,  5.8392, 34.1453,    60.8,  38.553,
280, 9965,  600.0,  5.7596,  26.910,  5.8112, 34.1481,    59.5,  38.564,
280, 9965,  602.0,  5.7404,  26.914,  5.7921, 34.1505,    58.1,  38.607,
280, 9965,  604.0,  5.7186,  26.919,  5.7704, 34.1540,    57.6,  38.672,
280, 9965,  606.0,  5.7074,  26.921,  5.7593, 34.1543,    56.4,  38.882,
280, 9965,  608.0,  5.6894,  26.926,  5.7414, 34.1581,    55.4,  38.971,
280, 9965,  610.0,  5.6729,  26.930,  5.7251, 34.1610,    55.0,  38.995,
280, 9965,  612.0,  5.6514,  26.935,  5.7037, 34.1629,    54.2,  39.168,
